grant_id,title,abstract,agency,stratum,human_parent_label
1457625,CHS: Medium: Collaborative Research: Empirically Validated Perceptual Tasks for Data Visualization,"Understanding quantitative data is a foundation of science, education, and the public communication of information about public policy and health. Our brains process and understand numbers far more efficiently when we can rely on data visualizations, allowing us to process patterns in data by leveraging the 40% of our brain that processes visual patterns in the real world. Decades of research in data visualization has produced evidence-backed guidelines for how to design the best data visualization for a given data analysis or communication task. But this process is limited by our incomplete understanding of the process by which we recognize patterns in visualized data. When people see a weather map color-coded by temperature, are they processing the hot and cold colors at the same perceptual moment, or just one? When they inspect a scatterplot, are people processing individual points, or the shape of the whole collection? This project will combine past research in the study of human vision, research in data visualization, and new research at the intersection of those two fields to create a model of how the visual system pulls patterns and statistics from visualized data. This model will lead to a more complete understanding of how to best harness the power of human vision to analyze a given dataset and to communicate a critical pattern clearly to an audience. this model will then be used to improve existing visualization tools.

Data visualization research has sought to find the best visualization for a given data analysis task. For example, scatterplots allow relatively precise judgment of correlations, while line graphs are a powerful way to inspect trends over time. But systematically testing the performance of many tasks across many visualizations has not revealed systematic patterns of performance that would allow us to predict why some matches lead to better performance, what design changes might alter that performance, or how novel visualizations might perform. One problem is that current work is limited to focusing on what viewers want to accomplish, without being able to capture how viewers actually perform these tasks. The goal of the proposed research is to refine and empirically evaluate a lower-level model of \""perceptual tasks\"" that underlie higher level tasks (e.g. \""What is the average value in the dataset?\"") based on established results in perceptual psychology. First, the team will conduct a qualitative study that documents how people break a high-level task down into perceptual tasks, followed by an empirical evaluation of those qualitative findings. Next, the team will measure the precision and operation of the proposed perceptual tasks -- Filter Image, Judge Shape, Compute Distributions and Compute Ratio -- along with other tasks identified in the first study. together, these will provide a set of empirically-backed design guidelines to improve visualization effectiveness. Finally, the team will validate the model by comparing its predictions to findings from previous literature, then integrate new guidelines as constraints into the Draco visualization recommender system, which should improve its ability to predict the performance of different visualization designs. The resulting guidelines, model, and integration into Draco promise in turn to improve visualization education and practice.

This award reflects NSF's statutory mission and has been deemed worthy of support through evaluation using the Foundation's intellectual merit and broader impacts review criteria.",National Science Foundation,NSF|abstract|noise,"Social Science, Public Policy & Education Research"
1458191,FW-HTF-RL: Neurodiversity in Tech: Using Interactive Decision Theory and Augmented Reality to Enable Employment for Adults with Autism Spectrum Disorder,"According to Centers for Disease Control and Prevention, about 1 in 59 children in the United States has been identified with autism spectrum disorder (ASD).  This disorder occurs in all racial, ethnic, and socioeconomic groups, with an estimated cost of $137 billion per year in the US. ASD results in an unemployment rate as high as 80% in young adults who have the cognitive skill to contribute substantially to the economy. This research project seeks to capitalize on the unique strengths of neurodiverse populations.  These populations, which have previously been marginalized in the workforce, have unique talents that can be leveraged with the right support for the future of technical work. There is growing evidence that technical talent exists in ASD and other neurodiverse communities.  This project aims to help the nation tap this talent by providing appropriate training for neurodiverse groups and correcting assumptions embedded in the technical industry hiring practices. If successful, this project will develop and test a unique array of new technology-based tools to support facile communication of neurodiverse employees.  In addition, this work will evaluate and expand a program that prepares young highly-functioning adults on the autism spectrum and other neurodiverse young adults for technical employment. The long-term goal of the project is to increase the proportion of neurodiverse individuals participating in the technical workforce nationally.   

This project brings together several disciplines, including cognitive and behavioral sciences, computer vision, electrical engineering, economics, ethics, and education.  The investigator team is structured to achieve multiple convergent goals. First it will develop the intelligent system with multi-modal user activity perception in virtual reality and augmented reality settings that understands speech and facial clues in highly-functioning individuals with ASD. it will also examine potential educational barriers that currently inhibit successful technical employment, as well as the potential economic impact of available internship models and training tools. In addition, the research team will examine potential ethical issues emerging from the development of augmented training tools and innovative hiring practices. These augmented reality systems for remote and automated coaching of workers-in-training will provide feedback on verbal and non-verbal behavior in two- and three-person workplace social encounters.  This project also seeks to develop additional tools to assist with written workplace communication.  Finally, this research uniquely leverages the investigators' connections with technical industry partners to provide feedback on the work training program, and to innovate hiring practices so that this program and others modeled after it can successfully move trainees into the increasing number of technical positions available both locally and nationally.

This award reflects NSF's statutory mission and has been deemed worthy of support through evaluation using the Foundation's intellectual merit and broader impacts review criteria.",National Science Foundation,NSF|abstract|assigned,Public & Behavioral Health
1460062,AF: Small: Embedding Distributed Computations and Flows in Networks,"This project is motivated by fundamental problems arising in networks underlying enterprise and infrastructure systems. The diverse applications spanned in this project include cloud computing, datacenters, blockchain technologies, and networks of mobile devices. What is the best algorithm to map a collection of communicating processes in a cloud of heterogeneous servers? How should a large AI computation be embedded in a network of computers? How can the data-flow needs of a distributed system be effectively supported by the underlying datacenter network? Can a highly dynamic network support fast and reliable communication?  The focus of this project is on developing a rigorous algorithmic framework for studying these questions and designing efficient algorithms for the relevant problems.

The PI endeavors to translate the advances in algorithmic foundations of these problems to tangible benefits in the applications. The integrated educational component of the project includes experimental and measurement studies, several concrete directions for dissertation research, and a new course on ""Algorithms for Modern Networked Systems"". As part of an effort to broaden participation in computer-science foundations, the PI plans to lecture on graphs and their applications at a summer institute for participating middle- and high-school teachers from Boston-area schools. The ultimate goal is to engage young students from these schools and suggest a possible academic and professional future in CS to a diverse community.

The technical core of the project comprises three categories of algorithmic problems. The first component is on embedding distributed computations in arbitrary network topologies, with an emphasis on modeling heterogeneity in both the computational tasks and the network machines. The expected research contributions include (a) resolving the complexity of the minimum-stretch graph-retraction problem, which is a natural variant of classic metric embeddings, and (b) approximation algorithms for the communication-aware embedding of directed acyclic graphs. The second component is on embedding flows and their generalizations called coflows, which capture flow collections sharing a common performance goal. The aim here is to minimize objectives related to the response times of the flows, for general networks. Both the first and second components assume that the underlying network does not change with time. The third component of this project concerns embedding in dynamic networks. It seeks distributed algorithms for information flows in highly dynamic networks, and solutions to several temporal optimization problems for networks with known dynamics.

This award reflects NSF's statutory mission and has been deemed worthy of support through evaluation using the Foundation's intellectual merit and broader impacts review criteria.",National Science Foundation,NSF|abstract|noise,"Computing, Networking & Robotic Systems"
1460531,Chiroptical Sensing and Sorting by Structured Materials and Structured Light,"Chiral molecules are asymmetric molecules with left- and right-handed mirror images (called enantiomers) that cannot be superimposed.  The principal investigator will use rationally engineered metallic and dielectric nanostructures and structured light beams to substantially enhance sensing and sorting of chiral molecules via an entirely optical approach. This could lead to vastly improved particle and single molecule level detection over current methods. The development of a new class of novel chiral sensors can significantly improve the limit of detection and sorting of biomarkers of diseases and/or single molecules.

The proposed development includes, 1) use of chirality of optical fields to synergistically sense and manipulate chiral molecules, 2) fabrication of planar nanostructures using precision lithography techniques to create unique effects, 3) Potential use of nanocubes yielding highly unique sensing capability for sorting of chiral molecules as well as preferentially trapping molecules by chirality and 4) use of nanostructures for the development of ultrasensitive chiroptical spectroscopy using state of the art micro-/nano-manipulation techniques can lead to the development of new class of sensors for molecular sorting. 
.

This award reflects NSF's statutory mission and has been deemed worthy of support through evaluation using the Foundation's intellectual merit and broader impacts review criteria.",National Science Foundation,NSF|abstract|assigned,Biomedical Sciences
1462007,QLCI-CG: Conceptualization of The Institute for Quantum Biology on Quantum Computers,"The Quantum Leap Challenge Institutes (QLCI) program is part of the Quantum Leap, one of the research Big Ideas promoted by the National Science Foundation. This award is a QLCI Conceptualization Grant, which supports activities to build capacity among teams planning for the large-scale, interdisciplinary Challenge Institute projects that aim to advance the frontiers of quantum information science and engineering. Research at these Institutes will span the focus areas of quantum computation, quantum communication, quantum simulation, and/or quantum sensing. The Institutes are expected to foster multidisciplinary approaches to specific scientific, technological, and workforce development goals in these fields.
 
This Conceptualization Grant will develop well-formulated plans for a future Challenge Institute proposal along the theme of large molecule (biology) simulation leveraging electronic structure and quantum computation.

This award reflects NSF's statutory mission and has been deemed worthy of support through evaluation using the Foundation's intellectual merit and broader impacts review criteria.",National Science Foundation,NSF|abstract|assigned,Mathematics & Fundamental Physics
1462119,CNS Core: Small: BehavIoT: Modeling and Controlling Internet of Things Behavior Using Netowork-Inferred State Machines,"An increasing number of smart interconnected objects, known as the Internet of Things (IoT), are becoming affordable, popular, and rich in functionality. While these devices enabled a wide range of societal benefits including health, safety, accessibility and sustainability, they also present important security, privacy, and management challenges due to the large set of diverse services they offer. The fundamental problem that opens the door to such behavior is that IoT systems are traditionally closed systems that provide consumers and investigators with little-to-no information about whether a device (or set of devices) is behaving in ways that might violate expectations such as privacy, security, and correctness. To address this problem, this project will investigate how to automatically determine when IoT systems compromise privacy, security and correctness, and how to mitigate such problems. The key idea is to focus on information gleaned from the network traffic that such devices generate, since network traffic is the common platform that all such IoT systems ultimately rely upon. Specifically, the project will develop technology that models the behavior of an IoT system from its network traffic, then use these models to identify unexpected behavior. To mitigate unexpected behavior, the project will identify in-network strategies such as isolating, changing, and/or blocking such traffic. By understanding and modeling device behavior and addressing unexpected behavior from IoT devices, this project has the potential to improve safety and security for users. Further, by raising awareness of new and existing threats, our proposed work can encourage device manufacturers to improve the privacy, security, and correctness of their deployments.

The goal of this project is to explore the extent to which network-inferred behavioral analysis of IoT deployments, combined with control over the network traffic they generate, can identify and mitigate misbehavior in IoT systems. Our key insight is that IoT devices are particularly amenable to state-machine analysis, as they tend to have a limited set of functionality (i.e., states such as ""camera recording"", ""microphone listening"", etc.) that is triggered by a limited set of events. To address the fact that one cannot rely on source code to build such models via static analysis, this project will instead treat IoT devices as black boxes and inferring state-machine models that describe their behavior using the one externally observable signal all IoT devices generate: net- work traffic. After building such inferred state machines (and their transition probabilities), the project will analyze their evolution over time to identify misbehaviors -- when a device transitions between states in unexpected or unwanted ways (e.g., due to compromise, data exfiltration, or misconfiguration). To provide coverage of a wide range of misbehaviors, the project will (i) detect behaviors that never before encountered by relying on unsupervised classification techniques; (ii) consider the behavior of the system as a whole by combining in our model the behavior of individual IoT devices, thus capturing the cause of any emergent global system behavior; (iii) produce a system-wide behavior model that is easy to understand and analyze in practice, such as a state machine in which states represents changes in the behavior of individual IoT devices, and transitions show temporal dependencies expressed as probabilities. Finally, the project will employ middleboxes to actually use state machine models as a way to protect a whole IoT system from both individual and global misbehavior.  An advantage to this approach is that it is naturally platform-independent by relying on the common denominator in IoT systems, i.e., Internet traffic; further, an in-network solution can be immediately deployed (e.g., in a home or enterprise gateway) for broad impact.

This award reflects NSF's statutory mission and has been deemed worthy of support through evaluation using the Foundation's intellectual merit and broader impacts review criteria.",National Science Foundation,NSF|abstract|noise,"Computing, Networking & Robotic Systems"
1463498,"CAREER: Sparse-sampling inference for functional proteomics, metabolomics and ionomics","Northeastern University is awarded a grant by the NSF Faculty Early Career
Development (CAREER) Program to develop statistical and computational
tools for functional proteomics, metabolomics and ionomics. The
proposed research will address three inter-related aims: (1) Accurate
identifications and quantifications of proteins, metabolites and ions
from high-throughput experiments, which generate sparse data in form
of mass and nuclear magnetic resonance spectra; (2) Joint
interpretation and integration of these sparse heterogeneous datasets;
and (3) Optimal design of global and targeted follow-up experiments.
The proposed program is innovative in that it closely accounts for the
biological and technological characteristics of proteomics,
metabolomics and ionomics. As the result, it will increase the
sensitivity, accuracy, and scope of interpretation of the
investigations. The utility of the developed methods of statistical
inference, and of the associated open-source software, will be
demonstrated on functional screens of S. cerevisiae, which integrate
heterogeneous transcriptomic, proteomic, metabolomic and ionomic
datasets.
 
The proposed program will contribute to bridging the communication gap
between biologists, chemists and statisticians. The project will promote the
computational thinking, and the appropriate use of statistical
methodology, by making available case studies that are relevant to the
user community, by offering interdisciplinary tutorials and short
courses at scientific meetings and interdisciplinary courses at
Purdue, and by providing mentoring for graduate and undergraduate students across
departments.",National Science Foundation,NSF|abstract|noise,Biomedical Sciences
1464124,CAREER: ENGINEER A FUNCTIONAL 3-D VASCULAR NICHE TO SUPPORT NEURAL STEM CELL SELF-RENEWAL,"1350240
Dai

Adult neural stem cells (NSCs) have great potential for treating damage or disease of the nervous system.  However, these cells are rare and difficult to maintain in culture because they quickly lose their multi-potency after being removed from their native environment.  In vivo, NSCs reside adjacent to a vascular niche, suggesting that it may be possible to maintain these cells ex vivo if critical functional features of the vascular niche are recreated in the culture environment.

The hypothesis of the proposed studies is that formation of a perfused, functional vasculature within 3-D extracellular matrix promotes self-renewal of the surrounding NSCs.  To test this hypothesis, the following specific aims will be pursued: 1) Create a neurovascular unit that contains perfused vasculature and NSCs within 3-D matrix using a novel cell printing technology.  2) Establish the maturation process and functionalities of the synthesized structures with regard to matrix properties and culture parameters.  3) Examine the NSC behavior and cell fate using the engineered neurovascular unit; and determine critical factors that influence NSC fate and its relationship to the functional status of the vasculature.

Intellectual Merit:  The proposed research will build a 3-D perfused vascular niche to study NSCs in a physiologically relevant experimental system, in which individual components and parameters can be easily manipulated.  Using this system, the proposed research will define critical factors to achieve functionality of the vasculature and will elucidate underlying mechanisms of NSC self-renewal in the dynamically perfused system. Since vasculature is a key element of many adult stem cell niches, this research will have broader ramifications in studying other stem cell fields.  Overall, this work will identify design principles and operating parameters for the printed structures to support the growth of the surrounding tissues in vitro, and thereby lay the foundation to fabricate tissues of appropriate thickness for biomedical applications in the future.

Broader Impacts:  The proposed research has broader scientific impact in generating fundamental knowledge related to 3-D vascular tissue formation and its role in regulating NSC fate.  Therefore, the proposed studies are expected to help develop methods for the ex vivo expansion of patient-specific NSCs to treat spinal cord injury and neurodegenerative diseases, which will benefit patients and the society at large.  Research will be integrated with educational and outreach activities targeting K-12 education and underrepresented groups.  Activities demonstrating how engineers can solve societal challenges will provide incentives to students to pursue careers in science and engineering.",National Science Foundation,NSF|abstract|assigned,Biomedical Sciences
1467616,CAREER: Mechanistic Studies and Modeling of Self-Emulsifying Drug Delivery Systems,"CBET-0748048, Carrier

The research objectives of the project are: (1) to develop insight into the physical phenomena and physicochemical parameters governing emulsion function in the gastrointestinal (GI) environment, and (2) develop a computational model to predict the influence of emulsions on oral compound absorption. There are many studies in the literature reporting enhancement in drug solubility and/or oral bioavailability by specific emulsion formulations. The proposed approach is to break down the overall function of emulsions in the GI tract into comprising processes and study these processes using a comprehensive set of emulsion formulations statistically designed to test the possible range of physical and chemical properties (oil structure, surfactant hydrophilic-lipophilic balance, drug logP, etc.). Key mechanistic processes of emulsion function in the GI environment will be simulated in vitro. Specifically, the ability to form an emulsion in the mixed GI environment and kinetics of drug release, emulsion digestion, and intestinal permeability enhancement will be measured and related to formulation physicochemical properties. Appropriate kinetic expressions and dependence of kinetic parameters on formulation properties will then be integrated into a systems-based model. The ability of the model to predict the influence of emulsions on drug absorption will be validated using in vitro and in vivo experiments. The ability to predict when and how emulsions influence oral compound absorption will have a significant impact on societal health. Rational emulsion design will realize the potential of this technology to orally deliver drugs that may otherwise not be viable products, and insight will be gained into the 'food effect', a poorly understood phenomenon that influences the oral bioavailability of most drugs.
	
Highly integrated with the research activities is a multi-tiered educational plan focused on practice-oriented education. Specifically, the research provides educational substance for a novel industry-mentored, problem-based Engineering Analysis of Drug Delivery course to serve as a practice-oriented course model. Mechanisms for other faculty to develop the collaborations necessary to design similar courses will be established as part of this effort.  In addition, the cooperative education model at Northeastern University will be expanded to include graduate industrial and undergraduate academic experiences. Finally, tomorrow's researchers will be exposed to the excitement of engineering through extensive high school involvement in research and the 'Building Bridges' high school outreach program. 
	 

Semahat Demir, Ph.D.
Program Director
Biomedical Engineering",National Science Foundation,NSF|abstract|noise,Biomedical Sciences
1468109,CAREER: Manipulating Microcomponents for Self-Assembly-Based Manufacturing and Chromatography,,National Science Foundation,NSF|title_only|assigned,Materials Science & Structural/Civil Engineering
1469229,CAREER:   Regulation of mitochondrial integrity and mitophagy between distinct mitochondrial subpopulations,"This project evaluates fundamental but largely unexplored mechanisms as to how cells maintain the integrity of one of their most critical internal compartments, their energy factories termed mitochondria. To maintain proper mitochondrial function, it is thought that damaged or dysfunctional mitochondria are routinely removed and replaced with new ones, but how cells coordinate this process is poorly understood. The project is designed to determine how different mitochondrial subpopulations within cells, distinguished from one another based on differences in size, energy-producing activity, and other endpoints, are either amplified or removed in response to specific cues that work in concert to coordinate cellular function. This research incorporates many important teaching and training goals by engaging students across academic levels (including high school, undergraduate, and graduate students) and backgrounds through their participation in research activities involving the application of next-generation scientific tools to drive new discoveries. The project specifically encourages, and implements a recruiting strategy for, the active participation of under-represented high school and undergraduate students interested in pursuing careers in STEM (Science Technology Engineering Mathematics). 

How subpopulations of mitochondria are differentially governed to maintain homeostatic balance between mitochondrial integrity and dysfunction are not known. Although mitochondria are heterogeneous with respect to function, DNA content, and morphology, little is understood regarding how mitochondrial properties are regulated on a per organelle basis, and why some mitochondria have a function distinct from others in the same cell. A major unresolved question in cell biology revolves around how 'mitochondrial heterogeneity' arises, and how variability between mitochondrial subpopulations can impact cellular functions. This project will test the hypothesis that distinct populations of mitochondria are preferentially allocated and set aside by the cell, but can be triggered to activate under certain physiological conditions, while dysfunctional mitochondria are preferentially eliminated via mitophagy (selective degradation of mitochondria by the cell). This fundamental knowledge and insight into how mitochondrial subpopulations can be differentially governed extends the current understanding of intracellular organization and is broadly applicable across eukaryotes. It is anticipated that this research will drive novel discoveries in normal cells, and will lead to new mitochondrial-based therapeutic platforms and molecular interventions in pathophysiologic states.",National Science Foundation,NSF|abstract|noise,Biomedical Sciences
1469417,CAREER: Automated Analysis and Design of Optimization Algorithms,,National Science Foundation,NSF|title_only|noise,"Computing, Networking & Robotic Systems"
1469920,CAREER: A Virtual Laboratory for Studying Long-Term Human-Computer Relationships,"As computers interact with people in increasingly complex and human ways through robots, wearable devices, PDAs, and various other ubiquitous interfaces, the psychological aspects of our relationships with them take on an increasingly important role.  It is important to not only understand the nature of this phenomenon and its effects in work and leisure contexts, but also to develop strategies for building and managing these relationships, which directly impact productivity, enjoyment, engagement and other important outcomes of human-computer interaction.  In this research, the PI intends to explore such issues via relational agents, computational artifacts designed to build long-term, social-emotional relationships with their users by managing expectations, attitudes and intentions.  While such agents can take on a number of embodiments (e.g., as jewelry, clothing, handheld, robotic, and various non-humanoid physical or nonphysical forms), the current project will focus on the development of purely software humanoid animated agents.  Building on his prior work, the PI will develop a ""virtual laboratory"" consisting of a networked software architecture and experimental methodology to support very long-term human-computer interaction studies, in which new experiments and agent capabilities can be dynamically integrated into a running system serving a persistent group of human subjects.  The virtual laboratory will then be used as a means to studying how social interface agents can conduct very long-term interactions with users - spanning months or years of daily use - and the impacts these interactions can have on user education, behavior change and overall well-being.  While social interface agents have broad applicability, this project will target one application domain (physical activity promotion) and one user group (urban older adults) in order to focus and ground the research.  Special care will be paid to imparting to the agents the ability to interact naturally with users and to form social-emotional relationships with them over time, in order to promote their effectiveness in both maintaining long-term interaction and achieving positive task outcomes.  In addition to advancing knowledge relating to human-computer interaction, this research will make significant contributions to the fields of computational linguistics, psychology, and communication. In the field of computational linguistics, the work will advance our knowledge of how to build dialog planners that can produce both task-oriented and social dialogue - including both verbal and nonverbal conversational behavior - intended to build and maintain social relationships with users within specifically targeted task domains; it will also address how to model and reason about human-machine dialog that spans multiple interactions.  In psychology and communication, this work will provide a better understanding of the nature and types of social relationships that people can have with computer agents, techniques that agents can use to build and maintain these relationships, and how human-computer relationships can improve certain kinds of task performance.

Broader Impacts:  The outcomes of this effort will include new ways of modeling human relationships and social and relational behavior.  The project will also lead to an understanding of how people and computer agents can optimally live and work together over extended periods of time, which in turn may improve our understanding of human-human relationships by providing new vocabulary, models and paradigms for thinking about relationships.  Finally, this work will target an underserved population (older adults) while focusing on an application domain (healthy lifestyle promotion) that has the potential for significant positive impacts on our overall society.",National Science Foundation,NSF|abstract|noise,"Computing, Networking & Robotic Systems"
1476404,The role of statistical learning in the atypical language development in ASD,"Abstract ! Children with Autism Spectrum Disorder (ASD) show enormous heterogeneity in core language abilities, such as phonology and grammar. Over 50% of verbal children with ASD have borderline or impaired language. Deciphering how children with ASD learn language is important for understanding the heterogeneity of language abilities in this population, as well as for the development of more effective interventions for children with ASD who also have language difficulties. Based on decades of behavioral research in typical language acquisition, statistical learning is essential for encoding rich regularities and variability for first language development. Whereas statistical learning has been linked to typical language development and Developmental Language Disorder (DLD), existing studies investigating statistical learning in ASD lack consensus regarding whether statistical learning is impaired in ASD. Both the enormous heterogeneity of ASD population and the recently reported variation in one?s ability to learn statistics across linguistic and non-linguistic domains, as well as across sensory modalities, might have contributed to such inconclusive results. The overall goal of this research is to understand whether the language heterogeneity in ASD can be attributed to variations of statistical learning in a specific domain (linguistic vs. nonlinguistic) or modality (auditory vs. visual). Aim 1 proposes to first characterize the relationship between children?s language abilities and statistical-learning profiles across domains and modalities in a large sample of children with ASD (6 to 8 years old) and typically developing (TD) controls. Both groups will be evaluated using a novel web-based testing platform. Aim 2 will focus on probing the neural mechanisms during statistical learning in each domain and modality in ASD, and how relative strengths and weaknesses in the groupings are related to language performance. Comparing the neural responses during statistical learning tasks among children with ASD in relation to high vs. low statistical learning abilities grouped by domain and modality, the study will test whether language performance in ASD is related to domain-specific, modality-specific, or domain/modality-general neural substrates of statistical learning. The proposed study will pave the way towards a deeper understanding of the mechanisms involved in language impairment in ASD. The results will provide crucial preliminary data for future investigations aiming to elucidate the causal relationship between statistical learning ability and language learning in a longitudinal intervention study and how statistical learning profile is related to different genetic risks in children with ASD.",National Institutes of Health,NIH|abstract|assigned,Public & Behavioral Health
1477615,Age-Related Changes in Language Processing,"Abstract
Normal aging involves changes to sensory and cognitive systems that affect many aspects of life, including
spoken communication. Speech comprehension involves rapidly mapping a complex acoustic signal to our
knowledge of words and extracting higher-order meaning from sentence or story structure. When the sound
signal is degraded—for example, due to background noise, or a listener’s poor hearing—this task is made
more difficult. There is good evidence that in such cases of acoustic challenge listeners must engage
additional cognitive resources supported by domain-general executive networks. Older adult listeners
frequently have greater difficulty understanding and remembering speech in noise compared to young adults.
Although some of this difficulty is due to age-related hearing loss, hearing ability alone cannot account for all of
the comprehension changes that occur with age. One appealing explanation for older adults’ increased speech
comprehension difficulty is a more limited set of cognitive resources, making them unable to meet the cognitive
demands of challenging listening situations. However, it is important to consider that a listener’s motivation to
understand plays a critical role in communication. In the current grant we experimentally test the role of reward
on language processing by varying the amount listeners are rewarded for correct responses during speech
comprehension tasks. Reward is linked to dopamine-mediated pathways important for guiding learning and
behavior. We hypothesize that increased reward (associated with greater motivation) will increase a listener’s
use of executive processing resources, and result in greater speech intelligibility. Because normal aging is
associated with changes in dopamine responsiveness, we expect that age differences in reward sensitivity
may explain a portion of the age difference in speech comprehension. We will also conduct hierarchical
statistical modeling to estimate the relative contributions of hearing ability, cognitive ability, and genetic
correlates of dopamine function to listeners’ success understanding speech in noise. The results will improve
our understanding of factors that contribute to successful aging, and help identify mechanisms for intervention
to improve performance when necessary.",National Institutes of Health,NIH|abstract|assigned,Public & Behavioral Health
1480127,R18 Closed Loop Diagnostics : AHRQ R18 Patient Safety Learning Laboratories,"Abstract
Diagnostic errors in primary care often are due to failures to follow up (“close the loop”) on diagnostic tests,
referrals, and symptoms. More specifically, (1) diagnostic tests and referrals often are not completed, (2)
results of diagnostic tests and referrals often are not conveyed to patients and their primary care physicians,
and (3) primary care physicians frequently are not informed when symptoms evolve that could alter a
diagnosis. To address these gaps, our multidisciplinary team of clinicians, systems engineers, and patients will
use an engineering life cycle to design systems to decrease the number of associated diagnostic errors by
preventing each of these types of failures in a large primary care practice. Our proposed research employs
innovative evidenced-based system engineering (SE) methods to develop highly reliable and robust processes
in other industries, but not yet widely adopted in healthcare. Our specific aims are as follows:
(Aim 1) Design, develop, and refine highly reliable “closed loop” systems for diagnostic tests and referrals that
ensure these occur within clinically- and patient-important timeframes;
(Aim 2) Design, develop, and refine a highly reliable “closed loop” symptom monitoring system to ensure
clinicians receive information about evolving symptoms of concern; and
(Aim 3) Ensure broader generalizability of results of Aims 1 and 2 by ensuring these new processes are
effective in a community health center in an underserved community, a large telemedicine system, and a
representative range of simulated other health system settings and populations.
Our research hypothesis is that a methodical systems approach to closing loops on diagnostic processes will
measurably improve timely completion of ordered tests, referrals, and symptom reports, leading to reductions
in diagnostic errors. Key innovations of our project are the use of high reliability and human factors methods,
inclusion of patients and clinicians from other practices throughout the engineering process, and combined use
of statistical, qualitative, and computer modeling methods to estimate improvements both in our primary site
and more broadly. Projected results include increased completion of high-risk diagnostic tests, referrals, and
concerning symptoms, in turn resulting in reduced diagnostic errors, negative health outcomes, and associated
costs. Learning outcomes include improved understanding of closed loop diagnostic and monitoring problems
in primary care, patient engagement in solutions to such problems, and the utility of systems engineering to
important healthcare problems. Our project responds to 4 of the 8 Institute of Medicine recommendations from
their Improving Diagnosis in Healthcare report, the President's Council of Advisors on Science and Technology
recommendation that systems engineering be applied to primary care problems, and the PSLL solicitation
emphases on value-based care, safety, patient engagement, and provider burden.",Dept. Health and Human Services,Other|abstract|assigned,"Computing, Networking & Robotic Systems"
1483282,XMM-Newton Observations of Two SuperEddington Accreting Tidal Disruption Events,,National Aeronautics and Space Administration,Other|title_only|assigned,Mathematics & Fundamental Physics
1484932,Conformational Regulation and Therapeutic Targeting of Oncogenic KRAS,"KRAS is one of the most deadly, yet undrugged, cancer proteins and is present in over 30% of all human tumors, with even higher frequencies found in pancreatic, lung, thyroid, colon, and liver cancers. Thus, achieving new mechanistic insights into KRAS deregulation and advancing innovative approaches to neutralize oncogenic KRAS remain among the highest priorities of the cancer field and represent the focus of this interdisciplinary proposal. KRAS is a GTPase that serves as a critical control point for a host of cellular functions ranging from cell survival and proliferation to endocytosis and motility. The functional activity of KRAS is dictated by nucleotide exchange, with the GTP-bound and GDP-bound forms representing the on and off states, respectively. Cancer cells hijack and enforce the activated state of KRAS through gain-of-function mutagenesis or gene amplification. To date, small molecule approaches to directly block the GTP-binding site have been unsuccessful due to subnanomolar engagement of GTP and GDP by KRAS. The structure of KRAS in complex with SOS1, a guanine nucleotide exchange factor that enhances KRAS activity by facilitating GDP release, revealed a helix-in-groove interaction potentially targetable by ?-helical mimicry. We applied all-hydrocarbon peptide stapling to generate stabilized alpha-helices of SOS1 (SAH-SOS1) and identified a prototype compound that engaged oncogenic KRAS, including the broad diversity of clinical mutants, inhibited the ERK-MAP kinase phosphosignaling cascade downstream of KRAS, and impaired the viability of KRAS-driven cancer cells. We found that not only did the prototype SAH-SOS1 construct dissociate the catalytic SOS1/KRAS interaction as anticipated, but also directly and independently blocked nucleotide association with KRAS by an unknown mechanism. Here, we aim to apply chemical, structural, cellular, and in vivo approaches to interrogate just how a SAH-SOS1 peptide can directly block the enzymatic activity of KRAS, compare and contrast this mechanism to the natural agonist activity of the SOS1 protein, and thereby inform both our structure-function understanding of SOS1/KRAS regulation and a new strategy for therapeutic inhibition of KRAS in human cancer. To achieve these goals, we propose three experimental aims: (1) Synthesize an expansive library of structurally-reinforced helices modeled after the KRAS-interaction domain of SOS1 to identify the binding determinants and functional interactions with KRAS and its oncogenic mutants. (2) Apply hydrogen-deuterium exchange mass spectrometry to elucidate the conformational effects of the SOS1 protein and SAH-SOS1 peptides on KRAS proteins and thereby define the mechanisms of enzymatic regulation. (3) Advance optimized SAH-SOS1 inhibitors to cellular and in vivo testing in KRAS-driven cancers to validate mechanism of action and therapeutic window, and provide proof-of-concept for clinical translation. By combining the biochemical and mass spectrometry expertise of the Engen laboratory with the cancer chemical biology and translational approaches of the Walensky laboratory, our goal is to provide new mechanistic insight into the oncogenic KRAS pathway and inform a new modality to disarm it for therapeutic benefit in cancer.",National Institutes of Health,NIH|abstract|noise,Biomedical Sciences
